date,headline,ormas,sentiment,headline_stem
2025-04-24 09:40:00,"Bukan Cuma BYD, Ternyata Ada Pabrik Mobil Lain yang Diganggu Ormas",Ormas Saja,Negative,bukan cuma byd nyata ada pabrik mobil lain yang ganggu ormas
2025-04-24 09:30:00,"Pembangunan Pabrik BYD Diganggu Ormas, BKPM Mau Lakukan Ini",Ormas Saja,Negative,bangun pabrik byd ganggu ormas bkpm mau laku ini
2025-04-24 08:00:00,Bupati Subang Siap Tindak Tegas Premanisme-Ormas Pengganggu Investasi,Ormas Saja,Negative,bupati subang siap tindak tegas premanisme-ormas ganggu investasi
2025-04-24 07:00:00,Video: Waka Komisi II DPR Minta Kemendagri Bubarkan Ormas Meresahkan,Ormas Saja,Negative,video waka komisi ii dpr minta kemendagri bubar ormas resah
2025-04-23 11:13:00,"Pembangunan Pabrik BYD di Subang Diganggu Ormas, BKPM Turun Tangan!",Ormas Saja,Negative,bangun pabrik byd di subang ganggu ormas bkpm turun tangan
2025-04-22 10:22:00,"Pabrik BYD Diganggu Ormas, Jangan Sampai Investor Merasa Tak Aman",Ormas Saja,Negative,pabrik byd ganggu ormas jangan sampai investor rasa tak aman
2025-04-22 10:00:00,Video: Waka Komisi II DPR Minta Kemendagri Bubarkan Ormas Meresahkan,Ormas Saja,Negative,video waka komisi ii dpr minta kemendagri bubar ormas resah
2025-02-23 15:51:00,"Foto Aksi Damai Bela Palestina di Bandung, Serukan Boikot Produk Israel",Ormas Saja,Neutral,foto aksi damai bela palestina di bandung seru boikot produk israel
2025-04-22 22:03:00,Ciri-ciri 4 Anggota Ormas Depok Pembakar Mobil Polisi yang Kini Dicari,Ormas Saja,Negative,ciri 4 anggota ormas depok bakar mobil polisi yang kini cari
2025-04-22 16:36:00,BYD Buka Suara Soal Kabar Pembangunan Pabrik di Subang Diganggu Ormas,Ormas Saja,Negative,byd buka suara soal kabar bangun pabrik di subang ganggu ormas
2025-04-21 11:32:00,Pembangunan Pabrik BYD di Subang Diganggu Ormas,Ormas Saja,Negative,bangun pabrik byd di subang ganggu ormas
2025-04-22 13:05:00,2 Jam Mencekamnya Aksi Ormas Bakar Mobil hingga Aniaya Polisi di Depok,Ormas Saja,Negative,2 jam cekam aksi ormas bakar mobil hingga aniaya polisi di depok
2025-04-21 19:37:00,"Duh, Pembangunan Pabrik BYD di Subang Direcoki Ormas",Ormas Saja,Negative,duh bangun pabrik byd di subang recok ormas
2025-04-22 07:10:00,"Preman-Ormas Ganggu Pembangunan Pabrik BYD di Subang, Investor Asing Bisa Ragu",Ormas Saja,Negative,preman-ormas ganggu bangun pabrik byd di subang investor asing bisa ragu
2025-04-22 06:30:00,Ormas Gagah-gagahan Bakar Mobil Polisi di Depok Kini Berbaju Tahanan,Ormas Saja,Negative,ormas gagah bakar mobil polisi di depok kini baju tahan
2025-04-21 19:04:00,"Video: Mobil Polisi Dibakar Ormas di Depok, Komisi III DPR: Jangan Kalah Sama Preman",Ormas Saja,Negative,video mobil polisi bakar ormas di depok komisi iii dpr jangan kalah sama preman
