date,headline,ormas,sentiment,headline_stem,labels_5,x,y
2025-04-24 09:40:00,"Bukan Cuma BYD, Ternyata Ada Pabrik Mobil Lain yang Diganggu Ormas",Ormas Saja,Negative,bukan cuma byd nyata ada pabrik mobil lain yang ganggu ormas,0,2.9653695,11.334911
2025-04-24 09:30:00,"Pembangunan Pabrik BYD Diganggu Ormas, BKPM Mau Lakukan Ini",Ormas Saja,Negative,bangun pabrik byd ganggu ormas bkpm mau laku ini,0,3.0350416,11.279998
2025-04-24 08:00:00,Bupati Subang Siap Tindak Tegas Premanisme-Ormas Pengganggu Investasi,Ormas Saja,Negative,bupati subang siap tindak tegas premanisme-ormas ganggu investasi,2,3.3523948,12.357706
2025-04-24 07:00:00,Video: Waka Komisi II DPR Minta Kemendagri Bubarkan Ormas Meresahkan,Ormas Saja,Negative,video waka komisi ii dpr minta kemendagri bubar ormas resah,3,4.0700107,10.981046
2025-04-23 11:13:00,"Pembangunan Pabrik BYD di Subang Diganggu Ormas, BKPM Turun Tangan!",Ormas Saja,Negative,bangun pabrik byd di subang ganggu ormas bkpm turun tangan,0,2.985512,11.31293
2025-04-22 10:22:00,"Pabrik BYD Diganggu Ormas, Jangan Sampai Investor Merasa Tak Aman",Ormas Saja,Negative,pabrik byd ganggu ormas jangan sampai investor rasa tak aman,3,3.0434434,11.376059
2025-04-22 10:00:00,Video: Waka Komisi II DPR Minta Kemendagri Bubarkan Ormas Meresahkan,Ormas Saja,Negative,video waka komisi ii dpr minta kemendagri bubar ormas resah,3,4.135876,10.994174
2025-02-23 15:51:00,"Foto Aksi Damai Bela Palestina di Bandung, Serukan Boikot Produk Israel",Ormas Saja,Neutral,foto aksi damai bela palestina di bandung seru boikot produk israel,4,3.9441247,2.8279066
2025-04-22 22:03:00,Ciri-ciri 4 Anggota Ormas Depok Pembakar Mobil Polisi yang Kini Dicari,Ormas Saja,Negative,ciri 4 anggota ormas depok bakar mobil polisi yang kini cari,0,-1.0882745,11.646351
2025-04-22 16:36:00,BYD Buka Suara Soal Kabar Pembangunan Pabrik di Subang Diganggu Ormas,Ormas Saja,Negative,byd buka suara soal kabar bangun pabrik di subang ganggu ormas,0,2.9643483,11.233626
2025-04-21 11:32:00,Pembangunan Pabrik BYD di Subang Diganggu Ormas,Ormas Saja,Negative,bangun pabrik byd di subang ganggu ormas,0,2.9478924,11.327147
2025-04-22 13:05:00,2 Jam Mencekamnya Aksi Ormas Bakar Mobil hingga Aniaya Polisi di Depok,Ormas Saja,Negative,2 jam cekam aksi ormas bakar mobil hingga aniaya polisi di depok,0,-1.0740386,12.181648
2025-04-21 19:37:00,"Duh, Pembangunan Pabrik BYD di Subang Direcoki Ormas",Ormas Saja,Negative,duh bangun pabrik byd di subang recok ormas,2,2.9773238,11.341903
2025-04-22 07:10:00,"Preman-Ormas Ganggu Pembangunan Pabrik BYD di Subang, Investor Asing Bisa Ragu",Ormas Saja,Negative,preman-ormas ganggu bangun pabrik byd di subang investor asing bisa ragu,2,3.0126061,11.406971
2025-04-22 06:30:00,Ormas Gagah-gagahan Bakar Mobil Polisi di Depok Kini Berbaju Tahanan,Ormas Saja,Negative,ormas gagah bakar mobil polisi di depok kini baju tahan,0,-1.0043308,12.088963
2025-04-21 19:04:00,"Video: Mobil Polisi Dibakar Ormas di Depok, Komisi III DPR: Jangan Kalah Sama Preman",Ormas Saja,Negative,video mobil polisi bakar ormas di depok komisi iii dpr jangan kalah sama preman,0,-1.064413,12.163936
2025-04-21 22:41:00,Ormas Depok Aniaya Polisi-Bakar Mobil gegara Tak Terima Ketua Diringkus,Ormas Saja,Negative,ormas depok aniaya polisi-bakar mobil gegara tak terima ketua ringkus,0,-0.9858967,11.380321
2025-04-21 22:11:00,Polda Metro: Negara Tak Boleh Kalah dengan Aksi Premanisme Berkedok Ormas,Ormas Saja,Negative,polda metro negara tak boleh kalah dengan aksi preman kedok ormas,3,2.3732023,11.118648
2025-04-21 21:46:00,Mobil Polres Depok Dibakar Saat Tangkap Ketua Ormas GRIB Jaya Harjamukti,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,mobil polres depok bakar saat tangkap ketua ormas grib jaya harjamukti,0,-1.1363829,12.344347
2025-01-13 18:30:00,Potret Taman Literasi yang Viral gegara Oknum Ormas Larang Warga Bikin Konten,Ormas Saja,Negative,potret taman literasi yang viral gegara oknum ormas larang warga bikin konten,0,0.8675999,11.745608
2025-04-21 21:01:00,Perintah Bakar Mobil Polisi Dikeluarkan Ketua Ormas di Depok Saat Ditangkap,Ormas Saja,Negative,perintah bakar mobil polisi keluar ketua ormas di depok saat tangkap,0,-1.1050521,12.148564
2025-04-21 20:59:00,Anggota Ormas Depok Pecahkan Kaca Mobil-Tarik Paksa Briptu Z dari Jendela,Ormas Saja,Negative,anggota ormas depok pecah kaca mobil-tarik paksa briptu z dari jendela,0,-0.21924494,11.361075
2025-04-21 20:02:00,"Makam Ki Ageng Manggir di Blora Mau Dibongkar Ormas, Disangka Makam Palsu",Ormas Saja,Neutral,makam ki ageng manggir di blora mau bongkar ormas sangka makam palsu,2,2.1458752,7.965264
2025-04-21 14:02:00,"Pembangunan Diganggu Ormas, Pabrik BYD di Subang Bakal Jadi yang Terbesar di ASEAN",Ormas Saja,Neutral,bangun ganggu ormas pabrik byd di subang bakal jadi yang besar di asean,2,5.060855,6.84504
2025-04-21 12:56:00,"Wanita Pengurus Ormas Ditangkap di Kasus Mobil Polisi Dibakar, Peran Penghasut",Ormas Saja,Negative,wanita urus ormas tangkap di kasus mobil polisi bakar peran hasut,0,-1.1055846,12.263502
