date,ormas_mentioned,sentiment,headline
2025-04-24,Ormas Saja,Negative,byd nyata pabrik mobil ganggu ormas
2025-04-24,Ormas Saja,Negative,bangun pabrik byd ganggu ormas bkpm laku
2025-04-24,Ormas Saja,Negative,bupati subang tindak premanisme-ormas ganggu investasi
2025-04-24,Ormas Saja,Negative,video waka komisi ii dpr kemendagri bubar ormas resah
2025-04-23,Ormas Saja,Negative,bangun pabrik byd subang ganggu ormas bkpm turun tangan
2025-04-22,Ormas Saja,Negative,pabrik byd ganggu ormas investor aman
2025-04-22,Ormas Saja,Negative,video waka komisi ii dpr kemendagri bubar ormas resah
2025-02-23,Ormas Saja,Neutral,foto aksi damai bela palestina bandung seru boikot produk israel
2025-04-22,Ormas Saja,Negative,ciri 4 anggota ormas depok bakar mobil polisi cari
2025-04-22,Ormas Saja,Negative,byd buka suara kabar bangun pabrik subang ganggu ormas
2025-04-21,Ormas Saja,Negative,bangun pabrik byd subang ganggu ormas
2025-04-22,Ormas Saja,Negative,2 jam cekam aksi ormas bakar mobil aniaya polisi depok
2025-04-21,Ormas Saja,Negative,duh bangun pabrik byd subang recok ormas
2025-04-22,Ormas Saja,Negative,preman-ormas ganggu bangun pabrik byd subang investor asing ragu
2025-04-22,Ormas Saja,Negative,ormas gagah bakar mobil polisi depok baju tahan
2025-04-21,Ormas Saja,Negative,video mobil polisi bakar ormas depok komisi iii dpr kalah preman
2025-04-21,Ormas Saja,Negative,ormas depok aniaya polisi-bakar mobil gegara terima ketua ringkus
2025-04-21,Ormas Saja,Negative,polda metro negara kalah aksi preman kedok ormas
2025-04-21,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,mobil polres depok bakar tangkap ketua ormas grib jaya harjamukti
2025-01-13,Ormas Saja,Negative,potret taman literasi viral gegara oknum ormas larang warga bikin konten
2025-04-21,Ormas Saja,Negative,perintah bakar mobil polisi ketua ormas depok tangkap
2025-04-21,Ormas Saja,Negative,anggota ormas depok pecah kaca mobil-tarik paksa briptu z jendela
2025-04-21,Ormas Saja,Neutral,makam ki ageng manggir blora bongkar ormas sangka makam palsu
2025-04-21,Ormas Saja,Neutral,bangun ganggu ormas pabrik byd subang asean
2025-04-21,Ormas Saja,Negative,wanita urus ormas tangkap mobil polisi bakar peran hasut
2025-04-21,Ormas Saja,Negative,peran 5 bakar mobil polisi depok urus ormas
2025-04-18,Ormas Islam,Negative,sawer dj nathalie holscher thm sidrap tuai kecam ormas islam
2025-04-19,Ormas Saja,Negative,video tangkap ketua ormas bikin mobil polisi bakar depok
2025-03-03,Ormas Saja,Negative,wamenaker problem hadap pabrik ri proposal ormas-ormas
2025-03-15,Ormas Saja,Neutral,ormas preman ganggu investasi tindak
2025-04-17,Ormas Islam,Neutral,ormas islam pemkab sidrap tertib thm lokasi dj nathalie sawer
2024-12-25,Ormas Saja,Neutral,ulama lpoi perintah turun pajak
2024-12-25,Ormas Saja,Positive,kapolri hadir silaturahmi ormas-halal bihalal mui bentuk komitmen ukhuwah bangsa
2025-02-11,Ormas Saja,Negative,preman ormas ganggu investasi jabar
2025-03-19,Ormas Saja,Negative,usaha ngeluh ormas thr
2025-03-20,Ormas Saja,Negative,heboh ormas thr usaha maksa
2025-01-14,Ormas Saja,Negative,ricuh ormas blora polisi turun tangan
2025-01-15,Ormas Saja,Negative,fakta ricuh ormas karangjati blora
2025-04-19,Ormas Islam,Positive,koster-giri hadir halal bihalal ormas islam program prioritas
2025-04-18,Ormas Saja,Negative,video kronologi mobil polisi bakar massa tangkap laku aniaya depok
2025-03-14,Ormas Saja,Neutral,perintah tindak ormas preman ganggu investasi
2025-03-14,Ormas Saja,Neutral,polri tindak preman kedok ormas ganggu investasi
2025-03-15,Ormas Saja,Negative,wamenperin oknum ormas thr pabrik
2024-10-19,Ormas Saja,Positive,potret tasyakur rawan jelang lantik prabowo-gibran
2025-03-15,Ormas Saja,Neutral,alas izin tambang ormas agama bahlil konglomerat
2025-03-11,Ormas Saja,Neutral,menaker buka suara aksi ormas kawasan industri
2025-03-14,Ormas Saja,Neutral,perintah kumpul data ormas ganggu investasi
2025-03-06,Ormas Saja,Negative,asosiasi leasing praktik oknum ormas kuasa kendara lunas
2025-03-15,Ormas Saja,Negative,ogah palak tugas kabel wi-fi aniaya anggota ormas
2025-03-15,Ormas Saja,Neutral,usaha respons aksi ormas kawasan industri hukum
2025-03-04,Ormas Saja,Neutral,ormas lebak bantah serobot lahan tani bangun sekret
2025-04-18,Ormas Saja,Negative,video massa bakar rusak 3 mobil polisi aman laku aniaya depok
2025-03-04,Ormas Saja,Negative,3 tani lebak garap lahan gegara serobot ormas
2025-02-28,Ormas Saja,Neutral,ormas gera rakyat bareng anies golkar tunggu kiprah
2025-02-28,Ormas Saja,Positive,anies tokoh inspirasi ormas gera rakyat
2024-10-01,Nahdlatul Ulama (NU),Positive,potret ct pimpin nu-muhammadiyah silaturahami pm anwar ibrahim
2025-03-14,Ormas Saja,Negative,mantan ketua ormas surabaya tangkap kait cabul anak
2025-02-27,Ormas Saja,Positive,anies hadir deklarasi ormas gera rakyat tokoh inspirasi
2025-02-27,Ormas Saja,Neutral,respons anies ormas gera rakyat potensi parpol usung
2025-02-28,Ormas Saja,Neutral,ormas gera rakyat bareng anies ahok titip khusus
2025-02-27,Ormas Saja,Neutral,ormas gera rakyat parpol usung 2029 anies
2024-12-20,Ormas Saja,Positive,ormas agama libat aman nataru lamongan
2025-03-02,Ormas Saja,Neutral,pks ormas gera rakyat warna oranye monggo
2025-03-25,Ormas Saja,Negative,video viral pria ngaku anggota ormas thr tukang cukur jaksel
2025-03-03,Ormas Saja,Negative,lahan serobot ormas kelompok tani lebak lapor polisi
2025-02-21,Ormas Saja,Neutral,polisi tepis kabar bentrok ormas terminal cikarang fakta
2025-02-19,Muhammadiyah,Positive,prabowo ajak ormas agama awas danantara muhammadiyah sambut gembira
2024-06-27,Ormas Saja,Neutral,diskusi bahas ruu polri kuat kerja institusi
2025-02-20,Ormas Saja,Neutral,ormas ganggu investasi jabar basmi
2025-02-21,Ormas Saja,Neutral,dedi mulyadi berantas preman ormas
2025-02-11,Ormas Saja,Negative,kemenperin preman ormas investasi hambat
2025-02-13,Ormas Saja,Neutral,hadir muktamar idi yusril organisasi profesi beda ormas
2025-02-14,Ormas Saja,Positive,polda metro ajak ormas cipta situasi kondusif jelang ramadan
2025-02-11,Ormas Saja,Negative,kemenperin preman ormas gagal investasi ratus triliun
2025-02-10,Ormas Saja,Negative,investasi ratus triliun layang gegara preman ormas bkpm buka suara
2025-03-21,Ormas Saja,Neutral,video menhub ormas larang posko mudik serah pemda-polisi
2025-02-11,Ormas Saja,Negative,heboh ormas ganggu investasi ratus triliun ros diskusi
2025-02-24,Ormas Saja,Positive,luncur danantara hadir tum parpol ormas agama tokoh ekonomi
2025-02-12,Ormas Saja,Neutral,festival nonhalal solo gelar tolak ormas
2024-05-27,Ormas Saja,Neutral,massa aksi kpk kait kuota haji
2025-03-10,Ormas Saja,Negative,video momen wabup garut tegur ormas razia warung puasa
2025-02-18,Ormas Saja,Positive,ruu minerba sah umkm-ormas agama prioritas izin tambang
2025-02-06,Ormas Saja,Negative,usaha surati prabowo keluh ormas jatah kawasan industri
2025-02-19,Ormas Saja,Positive,umkm ormas koperasi prioritas izin usaha tambang
2025-02-12,Ormas Saja,Neutral,tolak ormas gelar festival nonhalal solo gelar
2025-01-30,Ormas Saja,Neutral,bentrok personel tni ormas deli serdang damai
2025-01-23,Ormas Saja,Negative,polemik lintas ciroyom tutup kai-dibuka ormas
2025-03-21,Ormas Saja,Negative,video pria anggota ormas cikarang ngamuk larang posko mudik
2025-01-22,Nahdlatul Ulama (NU),Positive,pbnu konsesi tambang ormas niat perintah pahala
2024-08-14,Ormas Saja,Neutral,tarik tambang ormas agama
2025-01-22,Nahdlatul Ulama (NU),Neutral,legislator pdip nu-muhammadiyah adil ormas prioritas tambang
2023-11-17,Ormas Saja,Neutral,massa bela palestina demo surabaya sasar restoran cepat saji
2025-03-22,Ormas Saja,Negative,tanggap bima arya ormas thr jelang lebaran
2025-01-18,Ormas Saja,Neutral,jokowi isu gibran gabung ormas golkar
2025-03-22,Ormas Saja,Negative,ormas ngamuk buang sampah kantor dinkes bekas
2025-01-14,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,video ormas pemuda pancasila geruduk markas grib blora
2025-03-21,Ormas Saja,Neutral,polres probolinggo bentuk satgas antisipasi preman kedok ormas
2025-03-17,Ormas Saja,Negative,ganggu ormas kawasan industri waka mpr aparat tindak
2025-03-17,Ormas Saja,Negative,video bupati subang investor urung niat gegara preman
2025-03-20,Ormas Saja,Negative,video heboh kelompok anggota lsm ngamuk kantor dinkes kabupaten bekas
