date,ormas_mentioned,sentiment,headline,headline_cleaned
2025-04-24,Ormas Saja,Negative,"Bukan Cuma BYD, Ternyata Ada Pabrik Mobil Lain yang Diganggu Ormas",byd nyata pabrik mobil ganggu ormas
2025-04-24,Ormas Saja,Negative,"Pembangunan Pabrik BYD Diganggu Ormas, BKPM Mau Lakukan Ini",bangun pabrik byd ganggu ormas bkpm laku
2025-04-24,Ormas Saja,Negative,Bupati Subang Siap Tindak Tegas Premanisme-Ormas Pengganggu Investasi,bupati subang tindak premanisme-ormas ganggu investasi
2025-04-24,Ormas Saja,Negative,Video: Waka Komisi II DPR Minta Kemendagri Bubarkan Ormas Meresahkan,video waka komisi ii dpr kemendagri bubar ormas resah
2025-04-23,Ormas Saja,Negative,"Pembangunan Pabrik BYD di Subang Diganggu Ormas, BKPM Turun Tangan!",bangun pabrik byd subang ganggu ormas bkpm turun tangan
2025-04-22,Ormas Saja,Negative,"Pabrik BYD Diganggu Ormas, Jangan Sampai Investor Merasa Tak Aman",pabrik byd ganggu ormas investor aman
2025-04-22,Ormas Saja,Negative,Video: Waka Komisi II DPR Minta Kemendagri Bubarkan Ormas Meresahkan,video waka komisi ii dpr kemendagri bubar ormas resah
2025-02-23,Ormas Saja,Neutral,"Foto Aksi Damai Bela Palestina di Bandung, Serukan Boikot Produk Israel",foto aksi damai bela palestina bandung seru boikot produk israel
2025-04-22,Ormas Saja,Negative,Ciri-ciri 4 Anggota Ormas Depok Pembakar Mobil Polisi yang Kini Dicari,ciri 4 anggota ormas depok bakar mobil polisi cari
2025-04-22,Ormas Saja,Negative,BYD Buka Suara Soal Kabar Pembangunan Pabrik di Subang Diganggu Ormas,byd buka suara kabar bangun pabrik subang ganggu ormas
2025-04-21,Ormas Saja,Negative,Pembangunan Pabrik BYD di Subang Diganggu Ormas,bangun pabrik byd subang ganggu ormas
2025-04-22,Ormas Saja,Negative,2 Jam Mencekamnya Aksi Ormas Bakar Mobil hingga Aniaya Polisi di Depok,2 jam cekam aksi ormas bakar mobil aniaya polisi depok
2025-04-21,Ormas Saja,Negative,"Duh, Pembangunan Pabrik BYD di Subang Direcoki Ormas",duh bangun pabrik byd subang recok ormas
2025-04-22,Ormas Saja,Negative,"Preman-Ormas Ganggu Pembangunan Pabrik BYD di Subang, Investor Asing Bisa Ragu",preman-ormas ganggu bangun pabrik byd subang investor asing ragu
2025-04-22,Ormas Saja,Negative,Ormas Gagah-gagahan Bakar Mobil Polisi di Depok Kini Berbaju Tahanan,ormas gagah bakar mobil polisi depok baju tahan
2025-04-21,Ormas Saja,Negative,"Video: Mobil Polisi Dibakar Ormas di Depok, Komisi III DPR: Jangan Kalah Sama Preman",video mobil polisi bakar ormas depok komisi iii dpr kalah preman
2025-04-21,Ormas Saja,Negative,Ormas Depok Aniaya Polisi-Bakar Mobil gegara Tak Terima Ketua Diringkus,ormas depok aniaya polisi-bakar mobil gegara terima ketua ringkus
2025-04-21,Ormas Saja,Negative,Polda Metro: Negara Tak Boleh Kalah dengan Aksi Premanisme Berkedok Ormas,polda metro negara kalah aksi preman kedok ormas
2025-04-21,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,Mobil Polres Depok Dibakar Saat Tangkap Ketua Ormas GRIB Jaya Harjamukti,mobil polres depok bakar tangkap ketua ormas grib jaya harjamukti
2025-01-13,Ormas Saja,Negative,Potret Taman Literasi yang Viral gegara Oknum Ormas Larang Warga Bikin Konten,potret taman literasi viral gegara oknum ormas larang warga bikin konten
2025-04-21,Ormas Saja,Negative,Perintah Bakar Mobil Polisi Dikeluarkan Ketua Ormas di Depok Saat Ditangkap,perintah bakar mobil polisi ketua ormas depok tangkap
2025-04-21,Ormas Saja,Negative,Anggota Ormas Depok Pecahkan Kaca Mobil-Tarik Paksa Briptu Z dari Jendela,anggota ormas depok pecah kaca mobil-tarik paksa briptu z jendela
2025-04-21,Ormas Saja,Neutral,"Makam Ki Ageng Manggir di Blora Mau Dibongkar Ormas, Disangka Makam Palsu",makam ki ageng manggir blora bongkar ormas sangka makam palsu
