date,ormas_mentioned,sentiment,headline,headline_stem,label,x,y
2025-04-24,Ormas Saja,Negative,"Bukan Cuma BYD, Ternyata Ada Pabrik Mobil Lain yang Diganggu Ormas",byd nyata pabrik mobil ganggu ormas,0,2.9653695,11.334911
2025-04-24,Ormas Saja,Negative,"Pembangunan Pabrik BYD Diganggu Ormas, BKPM Mau Lakukan Ini",bangun pabrik byd ganggu ormas bkpm laku,0,3.0350416,11.279998
2025-04-24,Ormas Saja,Negative,Bupati Subang Siap Tindak Tegas Premanisme-Ormas Pengganggu Investasi,bupati subang tindak premanisme-ormas ganggu investasi,2,3.3523948,12.357706
2025-04-24,Ormas Saja,Negative,Video: Waka Komisi II DPR Minta Kemendagri Bubarkan Ormas Meresahkan,video waka komisi ii dpr kemendagri bubar ormas resah,3,4.0700107,10.981046
2025-04-23,Ormas Saja,Negative,"Pembangunan Pabrik BYD di Subang Diganggu Ormas, BKPM Turun Tangan!",bangun pabrik byd subang ganggu ormas bkpm turun tangan,0,2.985512,11.31293
2025-04-22,Ormas Saja,Negative,"Pabrik BYD Diganggu Ormas, Jangan Sampai Investor Merasa Tak Aman",pabrik byd ganggu ormas investor aman,3,3.0434434,11.376059
2025-04-22,Ormas Saja,Negative,Video: Waka Komisi II DPR Minta Kemendagri Bubarkan Ormas Meresahkan,video waka komisi ii dpr kemendagri bubar ormas resah,3,4.135876,10.994174
2025-02-23,Ormas Saja,Neutral,"Foto Aksi Damai Bela Palestina di Bandung, Serukan Boikot Produk Israel",foto aksi damai bela palestina bandung seru boikot produk israel,4,3.9441247,2.8279066
2025-04-22,Ormas Saja,Negative,Ciri-ciri 4 Anggota Ormas Depok Pembakar Mobil Polisi yang Kini Dicari,ciri 4 anggota ormas depok bakar mobil polisi cari,0,-1.0882745,11.646351
2025-04-22,Ormas Saja,Negative,BYD Buka Suara Soal Kabar Pembangunan Pabrik di Subang Diganggu Ormas,byd buka suara kabar bangun pabrik subang ganggu ormas,0,2.9643483,11.233626
2025-04-21,Ormas Saja,Negative,Pembangunan Pabrik BYD di Subang Diganggu Ormas,bangun pabrik byd subang ganggu ormas,0,2.9478924,11.327147
2025-04-22,Ormas Saja,Negative,2 Jam Mencekamnya Aksi Ormas Bakar Mobil hingga Aniaya Polisi di Depok,2 jam cekam aksi ormas bakar mobil aniaya polisi depok,0,-1.0740386,12.181648
2025-04-21,Ormas Saja,Negative,"Duh, Pembangunan Pabrik BYD di Subang Direcoki Ormas",duh bangun pabrik byd subang recok ormas,2,2.9773238,11.341903
2025-04-22,Ormas Saja,Negative,"Preman-Ormas Ganggu Pembangunan Pabrik BYD di Subang, Investor Asing Bisa Ragu",preman-ormas ganggu bangun pabrik byd subang investor asing ragu,2,3.0126061,11.406971
2025-04-22,Ormas Saja,Negative,Ormas Gagah-gagahan Bakar Mobil Polisi di Depok Kini Berbaju Tahanan,ormas gagah bakar mobil polisi depok baju tahan,0,-1.0043308,12.088963
2025-04-21,Ormas Saja,Negative,"Video: Mobil Polisi Dibakar Ormas di Depok, Komisi III DPR: Jangan Kalah Sama Preman",video mobil polisi bakar ormas depok komisi iii dpr kalah preman,0,-1.064413,12.163936
2025-04-21,Ormas Saja,Negative,Ormas Depok Aniaya Polisi-Bakar Mobil gegara Tak Terima Ketua Diringkus,ormas depok aniaya polisi-bakar mobil gegara terima ketua ringkus,0,-0.9858967,11.380321
2025-04-21,Ormas Saja,Negative,Polda Metro: Negara Tak Boleh Kalah dengan Aksi Premanisme Berkedok Ormas,polda metro negara kalah aksi preman kedok ormas,3,2.3732023,11.118648
2025-04-21,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,Mobil Polres Depok Dibakar Saat Tangkap Ketua Ormas GRIB Jaya Harjamukti,mobil polres depok bakar tangkap ketua ormas grib jaya harjamukti,0,-1.1363829,12.344347
2025-01-13,Ormas Saja,Negative,Potret Taman Literasi yang Viral gegara Oknum Ormas Larang Warga Bikin Konten,potret taman literasi viral gegara oknum ormas larang warga bikin konten,0,0.8675999,11.745608
2025-04-21,Ormas Saja,Negative,Perintah Bakar Mobil Polisi Dikeluarkan Ketua Ormas di Depok Saat Ditangkap,perintah bakar mobil polisi ketua ormas depok tangkap,0,-1.1050521,12.148564
2025-04-21,Ormas Saja,Negative,Anggota Ormas Depok Pecahkan Kaca Mobil-Tarik Paksa Briptu Z dari Jendela,anggota ormas depok pecah kaca mobil-tarik paksa briptu z jendela,0,-0.21924494,11.361075
2025-04-21,Ormas Saja,Neutral,"Makam Ki Ageng Manggir di Blora Mau Dibongkar Ormas, Disangka Makam Palsu",makam ki ageng manggir blora bongkar ormas sangka makam palsu,2,2.1458752,7.965264
2025-04-21,Ormas Saja,Neutral,"Pembangunan Diganggu Ormas, Pabrik BYD di Subang Bakal Jadi yang Terbesar di ASEAN",bangun ganggu ormas pabrik byd subang asean,2,5.060855,6.84504
2025-04-21,Ormas Saja,Negative,"Wanita Pengurus Ormas Ditangkap di Kasus Mobil Polisi Dibakar, Peran Penghasut",wanita urus ormas tangkap mobil polisi bakar peran hasut,0,-1.1055846,12.263502
2025-04-21,Ormas Saja,Negative,"Ini Peran 5 Pembakar Mobil Polisi di Depok, Ada Pengurus Ormas",peran 5 bakar mobil polisi depok urus ormas,0,-1.0631499,11.375758
2025-04-18,Ormas Islam,Negative,Saweran ke DJ Nathalie Holscher di THM Sidrap Tuai Kecaman Ormas Islam,sawer dj nathalie holscher thm sidrap tuai kecam ormas islam,4,2.8347833,5.6093125
2025-04-19,Ormas Saja,Negative,Video: Penangkapan Ketua Ormas yang Bikin Mobil Polisi Dibakar di Depok,video tangkap ketua ormas bikin mobil polisi bakar depok,0,-1.1030506,12.238657
2025-03-03,Ormas Saja,Negative,Wamenaker Ungkap Problem yang Dihadapi Pabrik di RI: Proposal Ormas-ormas,wamenaker problem hadap pabrik ri proposal ormas-ormas,0,2.7892,11.090929
2025-03-15,Ormas Saja,Neutral,Ormas Preman yang Ganggu Investasi Bakal Ditindak,ormas preman ganggu investasi tindak,0,3.3899066,12.310807
2025-04-17,Ormas Islam,Neutral,Ormas Islam Minta Pemkab Sidrap Tertibkan THM Lokasi DJ Nathalie Disawer,ormas islam pemkab sidrap tertib thm lokasi dj nathalie sawer,2,2.8423038,5.5736303
2024-12-25,Ormas Saja,Neutral,Ulama LPOI Minta Pemerintah Turunkan Pajak,ulama lpoi perintah turun pajak,3,3.9862158,11.409763
2024-12-25,Ormas Saja,Positive,"Kapolri Hadiri Silaturahmi Ormas-Halal Bihalal MUI, Bentuk Komitmen Ukhuwah Bangsa",kapolri hadir silaturahmi ormas-halal bihalal mui bentuk komitmen ukhuwah bangsa,4,2.3461547,5.7050266
